uid,name,latitude,longitude,source_aspect_deg,aspect_cardinal,preferred_aspect_deg,elev_m,difficulty,height_hint_m,dem_source,dem_resolution_m,line_status,route_point_count,route_length_m,route_drop_m,route_bearing_deg,slope_mean_deg,slope_p90_deg,slope_max_deg,aspect_agreement,steep_continuity,dem_resolution_factor,route_length_factor,route_confidence,confinement_index,topo_support_index,convexity_index,unsupported_steep_fraction,support_score,collapse_risk_score,qa_flag,qa_note
12,Nachtfalter,47.10893708,10.95374477,15,N,15,1254.52,WI5-/M4,,DOM_Oetztal_50cm,0.5,ok,17,64.44931260068721,32.539794921875,21.037511025421793,65.06957940494313,83.42850138346355,86.81315612792969,0.93291654416198,0.9411764705882352,1.1,0.40280820375429505,0.9158003792166922,0.5291807885263481,0.6530630208442288,0.0464356494884865,0.4705882352941176,64.50511566208048,35.494884337919515,,
13,Spongebob,47.10119125,10.96701683,15,N,15,1745.907,WI7-,,DOM_Oetztal_50cm,0.5,ok,15,55.268092907183075,57.3238525390625,347.5740571345725,66.23297373453777,80.30225372314453,85.27088165283203,0.6952673014952502,1,1.1,0.3454255806698942,0.8326494786650896,0.8817423502604167,0.448172583828478,0.01433366586764653,0.13333333333333333,79.26271370674445,20.73728629325555,,
14,Drytooling Klettergarten,47.09844413,10.95780488,239,SW,239,1204.952,,,DOM_Oetztal_50cm,0.5,ok,5,24.38584829701842,44.6268310546875,232.76516601842536,52.00345878601074,80.542266845703125,80.542266845703125,0.9307240668713928,0.6,1.1,0.15241155185636512,0.7875307819341936,0.4833170572916667,0.49692033993266826,0.07459551890691121,0.2,60.68036569830348,39.31963430169652,,
15,Triple Direkt,47.0869413,10.94041113,55,NE,55,1280.075,WI6/M4,,DOM_Oetztal_50cm,0.5,ok,23,115.51807110661734,116.33740234375,53.9726266148964,66.26360022503397,79.59064737955728,84.89978790283203,0.9885847401655156,0.9565217391304348,1.1,0.7219879444163584,0.9745892122469726,0.9487176425215128,0.4924503395828745,0.00939780754455621,0.04347826086956521,84.38081364345315,15.619186356546848,,
16,Guillotine,47.08371193,10.944314,49,NE,49,1196.228,WI6+/M7+,,DOM_Oetztal_50cm,0.5,ok,6,27.537803502078997,36.593017578125,53.9726266148964,67.31123224894206,84.8600845336914,84.8600845336914,0.9447485931678178,0.8333333333333334,1.1,0.17211127188799374,0.8651105644559265,0.3333333333333333,0.3653710346609349,0.13138147940238318,0.6666666666666666,44.83997961180904,55.16002038819096,,
17,Mixed Klettergarten Liftspur,47.08286448,10.96371174,15,N,15,1193.345,,,DOM_Oetztal_50cm,0.5,ok,19,82.68338649549922,56.1610107421875,302.78428086586916,73.0956597579153,84.55701446533203,86.47527313232422,0.1976031207318796,0.8947368421052632,1.1,0.5167711655968701,0.6191394174840178,0.8274257726836622,0.5251622387311881,0.00193320799684315,0.10526315789473684,79.27192000016028,20.72807999983972,,
18,Esso Mixed,47.07002952,10.97153602,299,NW,299,1204.551,M6-M7,,DOM_Oetztal_50cm,0.5,ok,12,62.011273368992335,52.708984375,310.2363583092738,72.40955762068431,86.3497408548991,86.52660369873047,0.8751515743414024,0.9166666666666666,1.1,0.3875704585562021,0.8838176755921813,0.8333333333333334,0.5453565260754539,0.01766109290636248,0.16666666666666666,79.11402462709243,20.885975372907566,,
19,Badle,47.07002952,10.97153602,15,N,15,1204.551,WI5+,,DOM_Oetztal_50cm,0.5,ok,34,192.60112484157045,121.7633056640625,345.73235318802676,65.80693640428431,81.14935658772784,85.949554443359375,0.6748039243114086,0.9411764705882352,1.1,1,0.872274510901034,0.8742559096392464,0.4751001644743046,0.0301460377214586,0.08823529411764706,79.73374635001805,20.266253649981948,,
20,Burgsteiner Mixed,47.06117835,10.96930442,301,NW,301,1340.15,M5-M8+,,DOM_Oetztal_50cm,0.5,ok,46,294.17335773673926,223.5147705078125,295.1488199765048,67.25978508721228,84.79856719970702,87.10897064208984,0.9349868886278312,0.9130434782608696,1.1,1,0.9679077989293932,0.9238573157269022,0.5782098606474882,0.01632550530864492,0.04347826086956521,85.26753300902925,14.73246699097075,,
21,Mixed Klettergebiet,47.05883952,10.96612868,15,N,15,1280.137,,,DOM_Oetztal_50cm,0.5,ok,26,115.72219095710211,211.748291015625,80.4633642415406,58.14640499995305,81.21669158935546,85.26921844482422,0.2726292862051044,0.8846153846153846,1.1,0.7232636934818883,0.666762699214846,0.8492482503255209,0.4901983041606601,0.09044719888613774,0.07692307692307693,77.89295412171141,22.107045878288588,,
22,Nordstau,47.05883952,10.96612868,15,N,15,1280.137,WI5-/M5,,DOM_Oetztal_50cm,0.5,ok,26,115.72219095710211,211.748291015625,80.4633642415406,58.14640499995305,81.21669158935546,85.26921844482422,0.2726292862051044,0.8846153846153846,1.1,0.7232636934818883,0.666762699214846,0.8492482503255209,0.4901983041606601,0.09044719888613774,0.07692307692307693,77.89295412171141,22.107045878288588,,
23,Pokerface,47.05883952,10.96612868,15,N,15,1280.137,WI6/M4,,DOM_Oetztal_50cm,0.5,ok,26,115.72219095710211,211.748291015625,80.4633642415406,58.14640499995305,81.21669158935546,85.26921844482422,0.2726292862051044,0.8846153846153846,1.1,0.7232636934818883,0.666762699214846,0.8492482503255209,0.4901983041606601,0.09044719888613774,0.07692307692307693,77.89295412171141,22.107045878288588,,
24,New Life,47.05883952,10.96612868,274,W,274,1280.137,WI7-,,DOM_Oetztal_50cm,0.5,ok,21,134.22408533840076,224.04296875,278.08263278795584,69.44138199942452,83.07574310302735,84.0127182006836,0.9546374134671572,0.9523809523809524,1.1,0.8389005333650047,0.971459304437649,0.4987318250868056,0.4457507175197265,0.06514464930764266,0.3333333333333333,58.95047374741323,41.04952625258677,,
25,Via Ali,47.06047859,10.94324338,146,SE,146,2008.971,WI5-,,DOM_Oetztal_50cm,0.5,ok,10,74.26022111091865,117.32421875,137.41102974661123,48.978061485290525,74.24941329956054,76.7848129272461,0.9045669971845692,0.7,1.1,0.4641263819432416,0.8382394370681518,0.8494374593098958,0.6162467317740449,0.01366642378270626,0,83.3575254876423,16.642474512357694,,
27,Fritz Phantom,47.00661867,10.9737247,15,N,15,2487.273,WI5,,DOM_Oetztal_50cm,0.5,ok,23,174.22586239877668,278.625,357.70020057820807,55.6220993373705,69.35521443684897,80.36571502685547,0.8077800064245341,0.9130434782608696,1.1,1,0.9170250460480746,0.7400008491847826,0.5862348164319258,0.02668069589181222,0.08695652173913043,76.55272948888582,23.447270511114183,,
28,Waldesruh Ralley - Bichlfall,47.02797391,10.99501338,244,SW,244,1284.886,WI6-,,DOM_Oetztal_50cm,0.5,ok,28,150.61838878240766,66.4013671875,239.1231869209396,62.90618767057146,83.60774485270183,86.512664794921875,0.94581318801044,0.8571428571428571,1.1,0.941364929890048,0.9496046253360378,0.39918990362258183,0.2025346325648645,0.19018702499479764,0.4642857142857143,44.5803138343847,55.4196861656153,,
29,Taufenbachfall (ohne Vorhang),47.02183284,10.99564764,15,N,15,1239.992,WI6+,,DOM_Oetztal_50cm,0.5,ok,6,10.43421137444936,11.1962890625,80.53767779197437,70.44216601053874,77.537506103515625,77.537506103515625,0.2718035800891736,1,1.1,0.0652138210903085,0.6352428141447004,0.16666666666666666,0.6728312127094029,0.02494693299134572,0.8333333333333334,45.48850832457483,54.51149167542517,,
30,Mhlgartenfall / Betonwerks?õule,47.02183284,10.99564764,15,N,15,1239.992,WI6-,,DOM_Oetztal_50cm,0.5,ok,6,10.43421137444936,11.1962890625,80.53767779197437,70.44216601053874,77.537506103515625,77.537506103515625,0.2718035800891736,1,1.1,0.0652138210903085,0.6352428141447004,0.16666666666666666,0.6728312127094029,0.02494693299134572,0.8333333333333334,45.48850832457483,54.51149167542517,,
31,Elfenbein,47.02183284,10.99564764,15,N,15,1239.992,WI7-/M6,,DOM_Oetztal_50cm,0.5,ok,6,10.43421137444936,11.1962890625,80.53767779197437,70.44216601053874,77.537506103515625,77.537506103515625,0.2718035800891736,1,1.1,0.0652138210903085,0.6352428141447004,0.16666666666666666,0.6728312127094029,0.02494693299134572,0.8333333333333334,45.48850832457483,54.51149167542517,,
32,R?õtselburg,47.0081575,10.99938127,360,N,360,1502.404,WI7-,,DOM_Oetztal_50cm,0.5,ok,20,120.29041406688836,143.58056640625,6.0405651828972395,64.18886289596557,83.51632258097331,84.1200180053711,0.9328826090789196,0.9,1.1,0.7518150879180523,0.938334552423373,0.7656509399414062,0.4883701546546389,0.05111088355382284,0.05,75.14132849265279,24.85867150734721,,
33,Freizeitstress,47.0081575,10.99938127,15,N,15,1502.404,WI6/M5,,DOM_Oetztal_50cm,0.5,ok,19,105.98296984948628,134.748046875,3.69138598645128,60.35741931513736,81.45525512695312,81.8528060913086,0.8743487331827919,0.8947368421052632,1.1,0.6623935615592893,0.9043999020606246,0.8342970463267544,0.5097643584963455,0.03581276709181175,0.10526315789473684,78.51858912632899,21.48141087367101,,
34,Namenlos,46.97334271,11.01845886,324,NW,324,1697.832,WI5/M5-,,DOM_Oetztal_50cm,0.5,ok,34,220.8086669417848,177.8963623046875,323.6031217786983,61.39412593841553,83.49520161946614,85.60014343261719,0.9955902419855368,0.9117647058823528,1.1,1,0.9917655085589206,0.8649803610409007,0.48174453972857295,0.03299910407148155,0,80.30774765862523,19.69225234137477,,
35,Hohe Brcke,46.90466547,10.96714096,133,SE,133,1697.688,WI3 ?Ž M6,,DOM_Oetztal_50cm,0.5,ok,7,42.39111474781934,43.10595703125,103.2010871757056,42.16472373689924,81.68506215413412,82.075164794921875,0.6689009686189511,0.7142857142857143,1.1,0.2649444671738709,0.7283405484506817,0.7232259114583334,0.7744448113247661,0.04174908924670446,0,81.07130451381006,18.928695486189937,,
36,Testgolla,47.09844413,10.95780488,239,SW,239,1204.952,M8,485,DOM_Oetztal_50cm,0.5,ok,5,24.38584829701842,44.6268310546875,232.76516601842536,52.00345878601074,80.542266845703125,80.542266845703125,0.9307240668713928,0.6,1.1,0.15241155185636512,0.7875307819341936,0.4833170572916667,0.49692033993266826,0.07459551890691121,0.2,60.68036569830348,39.31963430169652,,
37,Klettergarten Oberried - Eispark,47.07646018,10.94993127,15,N,15,1173.043,,,DOM_Oetztal_50cm,0.5,ok,19,108.3642699744724,121.0721435546875,2.6698897620076423,55.473494027790274,76.4896738688151,77.12824249267578,0.8629987751334183,0.8421052631578947,1.1,0.6772766873404524,0.8855587577347809,0.39363553231222587,0.4212073890865381,0.06916868503679309,0.3684210526315789,53.17619945416197,46.82380054583803,,
38,Zwieselsteinf?õlle,46.94276424,11.0333006,15,N,15,1712.602,WI3 - WI6,,DOM_Oetztal_50cm,0.5,ok,40,179.40260597370536,64.76513671875,358.11181199325915,69.29997940063477,86.77355677286783,88.482025146484375,0.8123534665917683,0.95,1.1,1,0.9299413866367072,0.897479502360026,0.43958250947893474,0.08411640088694791,0.025,79.44381232543559,20.556187674564413,,
39,Khlenkar Wasserfall,47.05703252,11.05611148,246,SW,246,2129.752,WI4,,DOM_Oetztal_50cm,0.5,ok,6,41.59665861936635,60.190673828125,234.38151016074823,46.82349554697672,69.5945816040039,69.5945816040039,0.8709056684527582,0.6666666666666666,1.1,0.2599791163710397,0.7943601790182072,0.9547356499565972,0.6063015003841955,0.0046472152074178,0,88.0276974535034,11.972302546496609,,
41,Wtenbach/Kaisers,46.98954212,11.0200582,15,N,15,1506.11,WI4-WI5,,DOM_Oetztal_50cm,0.5,ok,15,72.62025627805593,77.3487548828125,354.8521151758637,65.14554265340169,83.56654459635418,86.36259460449219,0.7761346130651519,0.9333333333333332,1.1,0.4538766017378496,0.8558415053998457,0.4578464084201389,0.5378014886710298,0.08732031501001782,0.4,58.30171929548165,41.69828070451835,,
42,Sevlstauda,47.10893708,10.95374477,244,SW,244,1254.52,WI5+/M4/A1,,DOM_Oetztal_50cm,0.5,ok,22,136.1802072532112,132.6474609375,240.85192815428695,67.98926275426692,83.3611920674642,84.92912292480469,0.9650214239365216,0.9090909090909092,1.1,0.85112629533257,0.9638484718351384,0.7398908210523201,0.6386138239066994,0.02549260383415403,0.18181818181818185,76.93239865015698,23.067601349843017,,
43,Mammut Lex,47.02183284,10.99564764,15,N,15,1239.992,WI5+/M6,,DOM_Oetztal_50cm,0.5,ok,6,10.43421137444936,11.1962890625,80.53767779197437,70.44216601053874,77.537506103515625,77.537506103515625,0.2718035800891736,1,1.1,0.0652138210903085,0.6352428141447004,0.16666666666666666,0.6728312127094029,0.02494693299134572,0.8333333333333334,45.48850832457483,54.51149167542517,,
44,Gegenwind,47.0081575,10.99938127,15,N,15,1502.404,WI5+/M8,,DOM_Oetztal_50cm,0.5,ok,19,105.98296984948628,134.748046875,3.69138598645128,60.35741931513736,81.45525512695312,81.8528060913086,0.8743487331827919,0.8947368421052632,1.1,0.6623935615592893,0.9043999020606246,0.8342970463267544,0.5097643584963455,0.03581276709181175,0.10526315789473684,78.51858912632899,21.48141087367101,,
45,Herbstgold,46.9564,10.96579,322,NW,322,2235.101,WI5-/M4,,DOM_Oetztal_50cm,0.5,ok,6,40.22116460091172,55.3251953125,313.451842301022,38.51962661743164,55.06968688964844,55.06968688964844,0.9050204700113555,0.5,1.1,0.25138227875569824,0.7571464158801122,0.3905673556857639,0.5190112346557749,0.03400941027535333,0,59.87062366674668,40.12937633325332,,
46,Forsttechnik,47.01761,10.99537,15,N,15,1285.953,WI 4+,,DOM_Oetztal_50cm,0.5,ok,24,142.95479572499036,142.7991943359375,17.138195247105728,69.27675346533458,82.60420023600261,86.08145904541016,0.9762422750321584,0.9583333333333334,1.1,0.8934674732811898,0.9873436573409824,0.6300629509819878,0.5048624226538132,0.07361925207078457,0.20833333333333337,67.41867498578576,32.581325014214244,,
47,Milchschnitte,47.18785309,10.91448647,309,NW,309,967.0927,WI6+,50,DOM_Oetztal_50cm,0.5,ok,31,214.6868115990571,330.4967041015625,309.45795642389385,72.7577888734879,83.84703267415364,84.86954498291016,0.9949115952900685,1,1.1,1,1.0179646381160274,0.5265456989247311,0.5234866418085605,0.04226898155625789,0.3870967741935484,62.06537512376627,37.93462487623373,,
48,Venter Eisfall,46.8562,10.912953,15,N,15,1926.223,WI 4+,,DOM_Oetztal_50cm,0.5,ok,7,22.123801284042777,47.798095703125,70.70995378081125,58.62986700875418,85.78615061442056,85.79383850097656,0.38100051354654174,0.7142857142857143,1.1,0.13827375802526737,0.6005132955068577,0.6870916457403274,0.5309273023617473,0.11859024777298882,0.2857142857142857,68.96335880475579,31.036641195244215,,
