"station_id","name","lon","lat","altitude_m","source","sh","tl","oft_lwd","td_lwd","rf","ff","dd","ffx","cglo","gsu_lwd","rr","p","chim","ddx","ffam","pred","rrm","so","tb10","tb20","tb50","tlmax","tlmin","ts","tsmax","tsmin","zeitx","LWD.Region","plot"
"SFES1","Festkogel",11.051768,46.853977,3035,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-21 Gurgler Gruppe","rosskar"
"TODO","Krinnenalpe Schneestation",10.5890528,47.4796083,1523,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-01 Allgäuer Alpen Ost","krinnenalpe"
"TODO2","Krinnenspitze",10.5845722,47.4742722,1990,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-02-02 Lechtaler Alpen Ost","krinnenalpe"
"NGAM1","Schartlkopf",10.561746,46.89963,2800,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-19 Glockturmgruppe","gamoarbach"
"HHAH1","Hahnenkamm Windstation",10.6409611111111,47.4765333333333,1884,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-01 Allgäuer Alpen Ost","hahnenkamm"
"ISEE2","Seegrube",11.3779335010812,47.3063819943737,1921,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-04-01 Karwendel West","seegrube"
"ACOM1","Assling Compedal Windstation",12.6097,46.8047,2180,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-27 Deferegger Alpen Ost","compedal"
"FHOC2","Hochhörndl",12.5589,47.4253,1769,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-18 Kitzbüheler Alpen Wildseeloder","hochhoerndl"
"IMUT1","Vorderer Maldonkopf",10.667904,47.275091,2580,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-02-02 Lechtaler Alpen Ost","muttekopfhuette"
"KSPI2","Kappl Spidur Alpe",10.411902,47.09232,2205,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-11 Verwallgruppe Ost","kappl_spidur_alpe"
